Day,Weather,Exam_Day,Price,Food_Type,Demand
Tuesday,Cloudy,No,28,Snack,Low
Monday,Rainy,Yes,39,Meal,Low
Friday,Rainy,Yes,59,Meal,Low
Sunday,Cloudy,Yes,45,Meal,High
Monday,Sunny,No,39,Beverage,High
Sunday,Rainy,Yes,47,Meal,Low
Monday,Cloudy,No,27,Snack,Low
Tuesday,Cloudy,No,22,Snack,High
Wednesday,Sunny,Yes,44,Beverage,High
Wednesday,Rainy,No,44,Snack,Low
Sunday,Rainy,Yes,55,Beverage,Low
Thursday,Sunny,Yes,56,Beverage,Low
Saturday,Rainy,No,58,Beverage,Low
Saturday,Sunny,No,49,Beverage,High
Thursday,Sunny,No,23,Beverage,Low
Saturday,Rainy,No,21,Beverage,High
Saturday,Sunny,Yes,26,Meal,High
Friday,Cloudy,Yes,37,Meal,High
Friday,Cloudy,No,29,Beverage,Low
Friday,Rainy,Yes,21,Snack,High
Saturday,Sunny,Yes,49,Snack,High
Friday,Cloudy,No,35,Beverage,Low
Tuesday,Rainy,Yes,30,Meal,High
Tuesday,Rainy,Yes,35,Meal,High
Thursday,Sunny,No,47,Beverage,Low
Wednesday,Rainy,Yes,21,Beverage,High
Wednesday,Rainy,Yes,49,Meal,Low
Thursday,Cloudy,No,32,Beverage,Low
Sunday,Cloudy,Yes,59,Meal,Low
Thursday,Sunny,No,43,Snack,Low
Thursday,Rainy,Yes,28,Snack,High
Wednesday,Rainy,Yes,53,Meal,Low
Sunday,Cloudy,Yes,48,Beverage,Low
Thursday,Rainy,Yes,46,Meal,High
Tuesday,Rainy,Yes,24,Snack,High
Thursday,Rainy,No,22,Snack,Low
Tuesday,Rainy,Yes,29,Beverage,High
Monday,Sunny,Yes,47,Meal,High
Tuesday,Cloudy,Yes,39,Snack,High
Thursday,Cloudy,Yes,51,Snack,Low
Sunday,Rainy,Yes,52,Beverage,Low
Tuesday,Sunny,No,60,Snack,Low
Monday,Cloudy,Yes,37,Meal,Low
Sunday,Cloudy,Yes,44,Snack,High
Tuesday,Sunny,No,31,Meal,High
Saturday,Cloudy,Yes,41,Beverage,Low
Tuesday,Rainy,No,27,Beverage,High
Tuesday,Rainy,No,46,Snack,Low
Monday,Sunny,Yes,37,Snack,High
Thursday,Rainy,No,39,Beverage,High
Friday,Sunny,Yes,42,Snack,Low
Monday,Rainy,No,41,Snack,Low
Tuesday,Cloudy,No,53,Beverage,Low
Monday,Sunny,No,22,Snack,High
Sunday,Sunny,Yes,55,Meal,Low
Tuesday,Rainy,No,46,Beverage,High
Thursday,Rainy,Yes,56,Snack,Low
Thursday,Cloudy,Yes,57,Snack,Low
Sunday,Cloudy,No,28,Snack,Low
Wednesday,Rainy,No,35,Beverage,High
Saturday,Rainy,Yes,43,Beverage,Low
Thursday,Sunny,Yes,26,Meal,High
Sunday,Cloudy,No,23,Meal,Low
Sunday,Cloudy,Yes,46,Snack,High
Thursday,Rainy,Yes,49,Beverage,High
Thursday,Cloudy,Yes,59,Snack,Low
Saturday,Sunny,Yes,53,Meal,Low
Sunday,Sunny,Yes,34,Meal,High
Thursday,Sunny,Yes,38,Beverage,Low
Monday,Cloudy,No,48,Snack,High
Friday,Cloudy,Yes,27,Snack,High
Wednesday,Sunny,No,53,Beverage,Low
Friday,Sunny,Yes,59,Snack,Low
Saturday,Sunny,No,47,Meal,Low
Thursday,Sunny,Yes,20,Beverage,High
Sunday,Sunny,No,55,Beverage,Low
Saturday,Cloudy,Yes,35,Meal,High
Thursday,Rainy,No,52,Snack,Low
Wednesday,Sunny,No,44,Snack,High
Tuesday,Cloudy,Yes,21,Meal,High
Monday,Sunny,Yes,60,Beverage,Low
Sunday,Sunny,No,43,Meal,High
Tuesday,Rainy,No,55,Beverage,Low
Sunday,Cloudy,No,45,Meal,Low
Thursday,Sunny,No,43,Snack,Low
Thursday,Rainy,No,58,Beverage,Low
Friday,Rainy,Yes,57,Snack,Low
Sunday,Rainy,No,24,Meal,Low
Friday,Rainy,Yes,54,Meal,Low
Saturday,Rainy,No,52,Beverage,Low
Monday,Sunny,No,26,Meal,High
Thursday,Cloudy,Yes,50,Meal,Low
Saturday,Rainy,No,29,Beverage,High
Saturday,Cloudy,No,59,Beverage,Low
Saturday,Cloudy,No,22,Beverage,High
Tuesday,Cloudy,No,48,Beverage,Low
Monday,Sunny,Yes,45,Meal,High
Sunday,Sunny,Yes,54,Beverage,Low
Tuesday,Rainy,No,47,Snack,Low
Sunday,Sunny,Yes,51,Snack,Low
Saturday,Rainy,No,25,Meal,High
Friday,Sunny,No,29,Snack,High
Monday,Sunny,No,49,Snack,High
Tuesday,Rainy,Yes,54,Meal,Low
Saturday,Rainy,No,29,Beverage,Low
Saturday,Sunny,No,47,Snack,Low
Tuesday,Cloudy,Yes,32,Beverage,High
Saturday,Cloudy,No,28,Meal,High
Sunday,Rainy,Yes,36,Beverage,Low
Thursday,Rainy,Yes,50,Beverage,High
Monday,Rainy,Yes,43,Meal,High
Friday,Rainy,Yes,40,Beverage,Low
Monday,Cloudy,No,26,Meal,High
Tuesday,Sunny,Yes,27,Beverage,High
Saturday,Sunny,No,29,Beverage,High
Friday,Sunny,No,50,Meal,Low
Wednesday,Sunny,No,46,Beverage,Low
Thursday,Sunny,No,31,Meal,Low
Thursday,Cloudy,Yes,48,Beverage,High
Sunday,Sunny,No,35,Meal,High
Saturday,Cloudy,No,41,Snack,High
Saturday,Rainy,No,56,Meal,Low
Monday,Rainy,No,27,Snack,Low
Thursday,Cloudy,Yes,52,Meal,Low
Tuesday,Cloudy,No,60,Meal,Low
Tuesday,Rainy,Yes,39,Beverage,High
Saturday,Cloudy,No,31,Snack,Low
Friday,Sunny,No,46,Snack,Low
Tuesday,Sunny,No,22,Meal,High
Thursday,Cloudy,Yes,34,Beverage,High
Monday,Cloudy,No,54,Beverage,Low
Friday,Cloudy,Yes,57,Snack,Low
Friday,Cloudy,Yes,28,Snack,High
Friday,Cloudy,Yes,46,Beverage,High
Tuesday,Sunny,Yes,40,Snack,Low
Thursday,Sunny,No,42,Beverage,Low
Tuesday,Cloudy,No,48,Beverage,High
Saturday,Sunny,Yes,30,Snack,High
Monday,Rainy,Yes,43,Meal,Low
Tuesday,Cloudy,No,32,Snack,Low
Saturday,Rainy,No,36,Snack,Low
Friday,Cloudy,Yes,54,Snack,Low
Wednesday,Sunny,Yes,34,Meal,High
Sunday,Cloudy,Yes,32,Beverage,High
Friday,Rainy,No,26,Beverage,Low
Wednesday,Rainy,Yes,42,Snack,Low
Thursday,Sunny,Yes,38,Snack,High
Tuesday,Sunny,No,32,Snack,Low
Tuesday,Rainy,Yes,43,Snack,Low
Tuesday,Rainy,No,57,Meal,Low
Tuesday,Rainy,No,51,Meal,Low
Sunday,Sunny,Yes,49,Beverage,Low
Wednesday,Sunny,Yes,59,Snack,Low
Sunday,Cloudy,Yes,45,Snack,Low
Friday,Sunny,No,37,Snack,High
Sunday,Rainy,Yes,54,Beverage,Low
Tuesday,Cloudy,Yes,53,Snack,Low
Sunday,Cloudy,No,49,Beverage,Low
Thursday,Rainy,Yes,23,Snack,High
Thursday,Cloudy,No,33,Meal,High
Friday,Rainy,No,27,Beverage,Low
Thursday,Rainy,No,52,Snack,Low
Friday,Cloudy,No,45,Beverage,Low
Saturday,Rainy,Yes,44,Snack,Low
Saturday,Sunny,No,23,Beverage,High
Monday,Rainy,Yes,23,Meal,High
Wednesday,Rainy,Yes,58,Beverage,Low
Tuesday,Sunny,No,24,Snack,High
Wednesday,Sunny,No,37,Meal,Low
Friday,Cloudy,No,35,Meal,High
Friday,Rainy,No,55,Meal,Low
Tuesday,Sunny,No,40,Snack,High
Wednesday,Cloudy,No,52,Beverage,Low
Thursday,Sunny,Yes,23,Beverage,High
Tuesday,Sunny,No,24,Beverage,High
Tuesday,Cloudy,No,20,Meal,High
Monday,Sunny,Yes,58,Meal,Low
Thursday,Sunny,No,28,Beverage,High
Friday,Rainy,No,27,Snack,Low
Sunday,Cloudy,Yes,33,Beverage,High
Wednesday,Cloudy,Yes,51,Snack,Low
Wednesday,Rainy,Yes,21,Beverage,High
Monday,Cloudy,No,38,Meal,High
Tuesday,Cloudy,Yes,43,Beverage,Low
Wednesday,Rainy,No,39,Meal,Low
Monday,Rainy,No,48,Beverage,High
Wednesday,Rainy,No,60,Beverage,Low
Sunday,Cloudy,Yes,26,Beverage,High
Wednesday,Cloudy,Yes,43,Meal,Low
Tuesday,Cloudy,Yes,20,Beverage,High
Sunday,Rainy,Yes,51,Meal,Low
Sunday,Sunny,No,25,Snack,High
Friday,Sunny,No,32,Meal,Low
Friday,Cloudy,Yes,43,Meal,Low
Tuesday,Cloudy,Yes,20,Meal,High
Friday,Rainy,Yes,34,Beverage,High
Thursday,Cloudy,Yes,44,Beverage,High
Sunday,Rainy,No,40,Meal,High
Friday,Cloudy,Yes,20,Beverage,High
Sunday,Sunny,No,57,Meal,Low
Friday,Cloudy,No,27,Meal,Low
Sunday,Rainy,No,30,Beverage,High
Friday,Cloudy,Yes,38,Beverage,High
Saturday,Cloudy,No,24,Beverage,Low
Thursday,Rainy,Yes,35,Beverage,High
Tuesday,Cloudy,Yes,22,Beverage,High
Thursday,Rainy,Yes,49,Meal,Low
Friday,Cloudy,No,24,Meal,High
Friday,Cloudy,Yes,57,Beverage,Low
Saturday,Sunny,Yes,58,Meal,Low
Saturday,Rainy,Yes,43,Meal,Low
Friday,Sunny,Yes,31,Beverage,High
Friday,Cloudy,No,28,Beverage,Low
Monday,Sunny,No,48,Snack,High
Wednesday,Sunny,Yes,60,Snack,Low
Friday,Sunny,No,46,Snack,Low
Sunday,Cloudy,No,58,Beverage,Low
Tuesday,Cloudy,Yes,58,Beverage,Low
Tuesday,Rainy,Yes,43,Meal,High
Friday,Cloudy,No,34,Snack,Low
Tuesday,Rainy,Yes,22,Meal,High
Friday,Rainy,No,49,Snack,Low
Monday,Sunny,Yes,26,Meal,High
Sunday,Sunny,Yes,47,Snack,Low
Monday,Cloudy,Yes,47,Meal,Low
Saturday,Rainy,No,26,Beverage,High
Tuesday,Cloudy,No,47,Snack,Low
Saturday,Cloudy,No,28,Beverage,Low
Saturday,Cloudy,Yes,53,Snack,Low
Wednesday,Rainy,Yes,60,Beverage,Low
Monday,Rainy,Yes,53,Meal,Low
Monday,Cloudy,No,55,Meal,Low
Wednesday,Sunny,Yes,49,Beverage,Low
Wednesday,Rainy,Yes,55,Beverage,Low
Saturday,Rainy,No,27,Meal,Low
Sunday,Sunny,Yes,46,Beverage,Low
Saturday,Sunny,No,43,Meal,Low
Monday,Cloudy,No,27,Snack,High
Saturday,Sunny,No,26,Snack,Low
Tuesday,Rainy,Yes,44,Beverage,High
Friday,Cloudy,Yes,44,Beverage,High
Thursday,Sunny,No,20,Beverage,Low
Monday,Sunny,No,42,Beverage,High
Saturday,Sunny,No,54,Snack,Low
Friday,Sunny,Yes,39,Meal,Low
Friday,Cloudy,Yes,29,Beverage,High
Tuesday,Rainy,No,52,Snack,Low
Monday,Cloudy,No,31,Beverage,Low
Thursday,Sunny,Yes,52,Beverage,Low
Saturday,Rainy,No,32,Beverage,High
Friday,Rainy,No,29,Snack,Low
Saturday,Cloudy,Yes,41,Meal,Low
Friday,Sunny,No,21,Beverage,High
Thursday,Rainy,Yes,59,Beverage,Low
Saturday,Cloudy,No,41,Beverage,Low
Friday,Rainy,No,23,Meal,High
Saturday,Rainy,No,60,Snack,Low
Wednesday,Cloudy,No,53,Meal,Low
Monday,Cloudy,No,24,Beverage,High
Friday,Rainy,Yes,42,Beverage,High
Thursday,Cloudy,Yes,23,Beverage,High
Wednesday,Cloudy,No,32,Snack,Low
Tuesday,Sunny,Yes,49,Meal,Low
Monday,Cloudy,No,44,Beverage,Low
Friday,Rainy,No,55,Meal,Low
Saturday,Sunny,No,39,Beverage,High
Thursday,Cloudy,Yes,47,Meal,High
Sunday,Cloudy,Yes,49,Beverage,Low
Thursday,Rainy,Yes,57,Meal,Low
Monday,Cloudy,Yes,57,Snack,Low
Friday,Cloudy,Yes,25,Meal,High
Thursday,Cloudy,Yes,50,Snack,Low
Tuesday,Rainy,Yes,58,Snack,Low
Thursday,Rainy,No,47,Snack,Low
Saturday,Cloudy,Yes,43,Snack,High
Saturday,Sunny,No,52,Meal,Low
Monday,Cloudy,No,52,Meal,Low
Sunday,Rainy,Yes,33,Snack,High
Friday,Cloudy,Yes,45,Meal,High
Monday,Cloudy,Yes,28,Beverage,High
Friday,Rainy,No,59,Snack,Low
Thursday,Cloudy,Yes,26,Beverage,High
Friday,Rainy,No,45,Meal,High
Friday,Cloudy,No,25,Beverage,Low
Thursday,Sunny,No,51,Beverage,Low
Thursday,Rainy,No,42,Beverage,Low
Thursday,Cloudy,No,53,Meal,Low
Saturday,Rainy,No,43,Meal,Low
Wednesday,Cloudy,No,37,Beverage,Low
Thursday,Sunny,No,56,Beverage,Low
Saturday,Rainy,Yes,29,Meal,High
Saturday,Rainy,No,39,Meal,Low
Sunday,Sunny,No,21,Meal,Low
Monday,Sunny,No,56,Snack,Low
Wednesday,Rainy,No,50,Snack,Low
Thursday,Rainy,Yes,28,Snack,High
Thursday,Cloudy,No,41,Snack,High
Friday,Sunny,Yes,50,Meal,High
Sunday,Rainy,No,35,Beverage,Low
Thursday,Rainy,No,36,Beverage,Low
Monday,Sunny,No,26,Snack,High
Sunday,Rainy,No,32,Beverage,High
Wednesday,Sunny,Yes,30,Meal,High
Thursday,Rainy,Yes,29,Snack,High
Tuesday,Sunny,Yes,24,Beverage,High
Thursday,Sunny,No,33,Beverage,High
Tuesday,Cloudy,No,20,Beverage,Low
Thursday,Sunny,No,42,Meal,High
Tuesday,Sunny,No,46,Snack,Low
Tuesday,Rainy,Yes,49,Meal,High
Thursday,Sunny,No,39,Meal,High
Saturday,Sunny,Yes,29,Meal,High
Sunday,Sunny,No,34,Beverage,Low
Thursday,Sunny,No,49,Snack,Low
Sunday,Rainy,Yes,46,Snack,Low
Friday,Sunny,Yes,42,Beverage,High
Tuesday,Cloudy,No,29,Meal,High
Friday,Rainy,Yes,45,Snack,Low
Sunday,Rainy,Yes,60,Beverage,Low
Monday,Rainy,Yes,43,Meal,Low
Wednesday,Sunny,No,57,Meal,Low
Thursday,Cloudy,No,38,Meal,Low
Saturday,Sunny,No,23,Beverage,High
Saturday,Cloudy,No,28,Meal,High
Thursday,Sunny,No,37,Beverage,Low
Friday,Rainy,No,41,Meal,High
Thursday,Sunny,Yes,44,Meal,Low
Monday,Sunny,Yes,45,Beverage,Low
Monday,Sunny,Yes,52,Meal,Low
Wednesday,Rainy,No,30,Meal,High
Wednesday,Cloudy,No,48,Beverage,Low
Thursday,Sunny,No,23,Beverage,High
Tuesday,Sunny,No,32,Snack,Low
Saturday,Rainy,No,38,Meal,Low
Sunday,Cloudy,Yes,59,Beverage,Low
Monday,Sunny,Yes,50,Snack,High
Sunday,Sunny,No,42,Beverage,Low
Saturday,Rainy,Yes,23,Meal,High
Tuesday,Cloudy,No,37,Beverage,Low
Wednesday,Rainy,No,40,Meal,Low
Wednesday,Sunny,No,51,Beverage,Low
Sunday,Cloudy,Yes,58,Meal,Low
Tuesday,Rainy,Yes,26,Meal,High
Thursday,Rainy,No,59,Meal,Low
Friday,Sunny,Yes,23,Beverage,High
Tuesday,Cloudy,No,48,Beverage,Low
Wednesday,Rainy,No,58,Meal,Low
Wednesday,Sunny,No,50,Snack,Low
Saturday,Cloudy,No,43,Snack,High
Tuesday,Sunny,Yes,47,Meal,High
Friday,Sunny,Yes,59,Snack,Low
Tuesday,Rainy,No,51,Snack,Low
Thursday,Rainy,No,21,Snack,Low
Wednesday,Sunny,Yes,44,Beverage,High
Saturday,Sunny,Yes,30,Meal,High
Sunday,Sunny,No,32,Meal,Low
Tuesday,Rainy,Yes,39,Snack,Low
Tuesday,Rainy,No,56,Meal,Low
Wednesday,Rainy,Yes,37,Beverage,Low
Tuesday,Sunny,No,54,Snack,Low
Saturday,Sunny,No,39,Meal,Low
Tuesday,Rainy,Yes,40,Snack,Low
Thursday,Rainy,No,38,Snack,Low
Wednesday,Rainy,Yes,21,Snack,High
Thursday,Cloudy,Yes,54,Beverage,Low
Monday,Rainy,No,42,Meal,Low
Monday,Rainy,No,59,Snack,Low
Sunday,Sunny,No,49,Beverage,High
Tuesday,Sunny,No,50,Snack,Low
Sunday,Sunny,No,30,Meal,Low
Wednesday,Rainy,Yes,43,Meal,Low
Wednesday,Rainy,No,42,Meal,Low
Sunday,Rainy,No,40,Meal,Low
Saturday,Cloudy,No,58,Snack,Low
Tuesday,Rainy,Yes,25,Snack,High
Monday,Sunny,No,43,Beverage,High
Thursday,Sunny,Yes,33,Snack,High
Thursday,Rainy,No,53,Meal,Low
Thursday,Sunny,Yes,44,Snack,High
Friday,Rainy,No,32,Meal,Low
Tuesday,Sunny,No,60,Snack,Low
Sunday,Cloudy,Yes,35,Beverage,High
Tuesday,Cloudy,No,56,Beverage,Low
Saturday,Cloudy,Yes,46,Beverage,Low
Saturday,Rainy,No,52,Snack,Low
Sunday,Rainy,No,45,Beverage,Low
Saturday,Rainy,Yes,46,Meal,High
Sunday,Cloudy,Yes,34,Snack,High
Tuesday,Rainy,No,21,Meal,High
Saturday,Cloudy,Yes,27,Beverage,High
Saturday,Sunny,No,33,Snack,High
Wednesday,Rainy,No,37,Meal,High
Sunday,Cloudy,Yes,39,Beverage,Low
Wednesday,Cloudy,Yes,28,Meal,High
Sunday,Rainy,No,46,Beverage,Low
Tuesday,Rainy,No,56,Beverage,Low
Sunday,Cloudy,No,44,Beverage,Low
Monday,Rainy,Yes,44,Snack,Low
Thursday,Cloudy,Yes,24,Beverage,High
Thursday,Cloudy,Yes,21,Meal,High
Saturday,Sunny,Yes,35,Snack,High
Saturday,Cloudy,No,23,Snack,Low
Thursday,Sunny,Yes,24,Beverage,High
Thursday,Rainy,No,58,Meal,Low
Sunday,Sunny,No,41,Meal,High
Friday,Rainy,Yes,48,Beverage,High
Friday,Sunny,Yes,23,Meal,High
Monday,Rainy,Yes,24,Beverage,High
Sunday,Sunny,Yes,37,Meal,Low
Thursday,Cloudy,No,33,Snack,Low
Thursday,Rainy,No,33,Beverage,High
Monday,Cloudy,No,33,Snack,High
Wednesday,Cloudy,No,28,Beverage,Low
Sunday,Cloudy,Yes,35,Snack,High
Friday,Sunny,No,29,Meal,Low
Saturday,Rainy,Yes,27,Meal,High
Saturday,Cloudy,Yes,33,Snack,High
Tuesday,Cloudy,No,24,Snack,Low
Sunday,Cloudy,No,48,Beverage,High
Saturday,Sunny,Yes,35,Beverage,High
Monday,Cloudy,Yes,24,Meal,High
Friday,Cloudy,Yes,47,Meal,Low
Saturday,Cloudy,No,58,Snack,Low
Thursday,Sunny,No,36,Meal,Low
Sunday,Sunny,Yes,56,Meal,Low
Friday,Rainy,No,27,Beverage,Low
Wednesday,Rainy,No,50,Snack,Low
Wednesday,Sunny,No,40,Meal,Low
Wednesday,Rainy,Yes,49,Meal,High
Saturday,Rainy,No,34,Meal,Low
Thursday,Sunny,Yes,51,Beverage,Low
Friday,Cloudy,No,50,Snack,High
Saturday,Cloudy,Yes,47,Snack,Low
Wednesday,Sunny,No,30,Beverage,High
Monday,Cloudy,No,39,Snack,High
Wednesday,Sunny,No,28,Meal,High
Thursday,Cloudy,No,51,Snack,Low
Friday,Rainy,No,44,Beverage,High
Monday,Cloudy,Yes,37,Snack,Low
Sunday,Rainy,No,48,Snack,Low
Tuesday,Rainy,No,56,Beverage,Low
Wednesday,Rainy,No,47,Beverage,High
Tuesday,Cloudy,No,23,Meal,Low
Tuesday,Rainy,No,42,Meal,Low
Saturday,Cloudy,No,40,Beverage,Low
Thursday,Cloudy,No,26,Meal,Low
Sunday,Rainy,Yes,44,Snack,Low
Wednesday,Cloudy,Yes,46,Snack,High
Monday,Rainy,Yes,30,Meal,High
Monday,Sunny,No,52,Meal,Low
Tuesday,Sunny,Yes,56,Beverage,Low
Tuesday,Rainy,No,47,Snack,Low
Thursday,Cloudy,No,26,Snack,High
Saturday,Rainy,No,31,Snack,Low
Friday,Rainy,Yes,28,Beverage,High
Tuesday,Sunny,No,21,Beverage,High
Sunday,Sunny,No,22,Meal,Low
Friday,Rainy,Yes,42,Meal,High
Monday,Sunny,Yes,60,Snack,Low
Friday,Sunny,Yes,47,Meal,High
Wednesday,Sunny,No,43,Snack,High
Monday,Sunny,No,33,Beverage,High
Tuesday,Cloudy,Yes,51,Meal,Low
Friday,Sunny,Yes,31,Snack,High
Saturday,Cloudy,Yes,44,Snack,Low
Wednesday,Rainy,Yes,59,Beverage,Low
Monday,Sunny,No,37,Snack,High
Wednesday,Sunny,Yes,30,Meal,High
Tuesday,Rainy,No,48,Snack,Low
Tuesday,Sunny,Yes,55,Meal,Low
Monday,Rainy,Yes,34,Beverage,High
Monday,Rainy,Yes,42,Snack,Low
Tuesday,Rainy,No,23,Snack,Low
Wednesday,Sunny,Yes,31,Beverage,High
Tuesday,Cloudy,Yes,32,Beverage,High
Wednesday,Rainy,No,55,Snack,Low
Tuesday,Rainy,Yes,47,Beverage,Low
Sunday,Sunny,No,57,Snack,Low
Wednesday,Rainy,No,20,Snack,Low
Monday,Sunny,No,41,Snack,Low
Thursday,Rainy,Yes,46,Meal,Low
Thursday,Rainy,No,32,Meal,Low
Saturday,Rainy,No,40,Meal,Low
Sunday,Rainy,Yes,32,Beverage,High
Friday,Rainy,Yes,40,Snack,Low
Friday,Rainy,No,45,Snack,Low
Sunday,Sunny,Yes,46,Meal,High
Sunday,Cloudy,No,47,Snack,High
Thursday,Rainy,No,34,Snack,Low
Friday,Rainy,Yes,25,Beverage,High
Wednesday,Sunny,No,43,Meal,High
Tuesday,Rainy,Yes,43,Beverage,Low
Wednesday,Sunny,Yes,58,Snack,Low
Thursday,Sunny,Yes,31,Meal,High
Monday,Sunny,Yes,56,Meal,Low
Saturday,Cloudy,No,39,Snack,High
Saturday,Rainy,No,47,Meal,High
Friday,Sunny,No,58,Beverage,Low
Friday,Sunny,Yes,41,Snack,High
Monday,Cloudy,No,45,Snack,High
Sunday,Cloudy,No,21,Meal,Low
Thursday,Sunny,Yes,32,Snack,High
Friday,Sunny,Yes,26,Snack,High
Thursday,Sunny,No,60,Snack,Low
Friday,Rainy,No,56,Meal,Low
Thursday,Sunny,No,40,Snack,Low
Wednesday,Cloudy,No,41,Meal,High
Tuesday,Sunny,No,32,Snack,High
Saturday,Cloudy,No,20,Beverage,High
Friday,Rainy,Yes,28,Meal,High
Friday,Cloudy,No,51,Meal,Low
Friday,Rainy,Yes,57,Snack,Low
Thursday,Cloudy,No,31,Beverage,High
Thursday,Cloudy,No,23,Meal,High
Saturday,Rainy,No,59,Snack,Low
Monday,Sunny,No,36,Beverage,High
Monday,Rainy,No,57,Meal,Low
Tuesday,Cloudy,No,59,Meal,Low
Monday,Rainy,Yes,43,Snack,Low
Monday,Sunny,Yes,22,Meal,High
Tuesday,Rainy,No,34,Beverage,Low
Sunday,Rainy,Yes,33,Beverage,High
Tuesday,Rainy,No,34,Meal,Low
Tuesday,Cloudy,No,37,Beverage,Low
Saturday,Rainy,Yes,52,Meal,Low
Tuesday,Sunny,No,22,Meal,High
Sunday,Rainy,No,20,Beverage,Low
Saturday,Sunny,Yes,42,Meal,High
Saturday,Rainy,Yes,54,Meal,Low
Friday,Rainy,No,54,Beverage,Low
Thursday,Sunny,No,57,Meal,Low
Wednesday,Rainy,Yes,31,Beverage,High
Tuesday,Rainy,No,48,Snack,Low
Sunday,Sunny,Yes,36,Meal,High
Sunday,Sunny,Yes,53,Snack,Low
Tuesday,Rainy,No,56,Meal,Low
Monday,Sunny,Yes,41,Beverage,Low
Friday,Rainy,Yes,30,Snack,High
Friday,Cloudy,Yes,37,Meal,High
Monday,Sunny,No,60,Meal,Low
Monday,Rainy,Yes,41,Meal,Low
Saturday,Rainy,Yes,27,Beverage,High
Wednesday,Cloudy,Yes,40,Snack,Low
Sunday,Sunny,No,39,Beverage,High
Saturday,Rainy,Yes,56,Meal,Low
Saturday,Sunny,No,38,Snack,Low
Saturday,Cloudy,No,28,Beverage,High
Wednesday,Cloudy,No,39,Beverage,Low
Wednesday,Sunny,Yes,33,Snack,High
Tuesday,Rainy,Yes,26,Meal,High
Tuesday,Sunny,Yes,20,Meal,High
Friday,Sunny,Yes,55,Beverage,Low
Sunday,Sunny,Yes,27,Meal,High
Monday,Rainy,No,37,Meal,Low
Monday,Cloudy,Yes,27,Meal,High
Tuesday,Cloudy,Yes,48,Beverage,High
Sunday,Cloudy,No,20,Beverage,High
Monday,Rainy,No,55,Beverage,Low
Monday,Sunny,No,56,Beverage,Low
Monday,Cloudy,Yes,45,Snack,Low
Thursday,Rainy,No,54,Beverage,Low
Friday,Sunny,Yes,25,Meal,High
Saturday,Cloudy,Yes,56,Meal,Low
Monday,Sunny,No,42,Snack,Low
Tuesday,Rainy,No,55,Beverage,Low
Tuesday,Sunny,Yes,35,Beverage,High
Wednesday,Rainy,No,33,Beverage,Low
Friday,Sunny,Yes,24,Beverage,High
Thursday,Rainy,No,44,Beverage,High
Monday,Rainy,No,34,Beverage,High
